Element,FieldName,Property,SI Unit Name,SI Unit Abbr,SI Decimals,US Unit Name,US Unit Abbr,US Decimals,ConditionValue,Notes
Pumps,Power,Power,Kilowatts,kW,2,Horse Power,HP,2,,
Pumps,Speed,Speed,Unitless,,2,Unitless,,2,,
Pumps,IdSpeedPat,Speed Pattern,Text,,,Text,,,,
Pumps,IniStatus,Initial Status,Text,,,Text,,,,
Pumps,IdEffiCur,Efficiency Curve,Text,,,Text,,,,
Pumps,EnergyPric,Energy Price,Currency /kWh,See Currency/kWh,2,Currency /kWh,See Currency/kWh,2,,Not yet available. Default $/kWh
Pumps,IdPricePat,Price Pattern,Text,,,Text,,,,
Pumps,Tag,Tag,Text,,,Text,,,,
Pumps,Descrip,Description,Text,,,Text,,,,
Junctions,Id,Identifier,Text,,,Text,,,,
Junctions,Elevation,Elevation,Meters,m,2,Feet,ft,2,,
Junctions,BaseDem,Base Demand,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,
Junctions,IdPattDem,Pattern Demand,Text,,,Text,,,,
Junctions,EmittCoef,Emitter Coefficient,Flow/sqr(Pressure),See FlowUnits/sqr(See PressUnits),2,Flow/sqr(Pressure),See FlowUnits/sqr(See PressUnits),2,,
Junctions,IniQuality,Initial Quality,mass/Liter,See MassUnits/L,3,Mass/Liter,See MassUnits/L,3,Chemical,Leave blank for other Quality Models
Junctions,Tag,Tag,Text,,,Text,,,,
Junctions,Descrip,Description,Text,,,Text,,,,
Multiple Demands,BaseDemand,Base Demand,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,
Multiple Demands,IdPattern,Pattern Demand,Text,,,Text,,,,
Multiple Demands,Descrip,Description,Text,,,Text,,,,
Tanks,Id,Identifier,Text,,,Text,,,,
Tanks,Elevation,Elevation,Meters,m,2,Feet,ft,2,,
Tanks,IniLevel,Initial Level,Meters,m,2,Feet,ft,2,,
Tanks,MinLevel,MinimumLevel,Meters,m,2,Feet,ft,2,,
Tanks,MaxLevel,Maximum Level,Meters,m,2,Feet,ft,2,,
Tanks,Diameter,Diameter,Meters,m,2,Feet,ft,2,,
Tanks,MinVolume,Volume,Cubic meters,m3,1,Cubic feet,ft3,1,,
Tanks,IdVolCurve,Volume Curve,Text,,,Text,,,,
Tanks,Overflow,Overflow Condition,Text,,,Text,,,,
Tanks,MixingMod,Mixing Model,Text,,,Text,,,,
Tanks,MixingFrac,Mixing Fraction,Unitless,,2,Unitless,,2,,
Tanks,ReactCoef,Bulk Coefficient,Per day,1/day,2,Per day,1/day,2,1,Bulk reaction order. Leave blank for other Order
Tanks,IniQuality,Initial Quality,mass/Liter,See MassUnits/L,3,Mass/Liter,See MassUnits/L,3,Chemical,Leave blank for other Quality Models
Tanks,Tag,Tag,Text,,,Text,,,,
Tanks,Descrip,Description,Text,,,Text,,,,
Reservoirs,Id,Identifier,Text,,,Text,,,,
Reservoirs,TotalHead,Total Head,Meters,m,,Feet,ft,,,
Reservoirs,IdHeadPatt,Head Pattern,Text,,,Text,,,,
Reservoirs,IniQuality,Initial Quality,mass/Liter,See MassUnits/L,3,Mass/Liter,See MassUnits/L,3,Chemical,Leave blank for other Quality Models
Reservoirs,Tag,Tag,Text,,,Text,-,,,
Reservoirs,Descrip,Description,Text,,,Text,,,,
Curves,CurveID,Identifier,,,,,,,,
Curves,Xvalue,Value X axis,Cubic meters,m3,1,Cubic feet,ft3,1,Volume,Curve type
Curves,Yvalue,Value Y axis,Meters,m,2,Feet,ft,2,Volume,Curve type
Curves,XValue,Value X axis,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,Pump,Curve type
Curves,Yvalue,Value Y axis,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,Pump,Curve type
Curves,XValue,Value X axis,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,Efficiency,Curve type
Curves,Yvalue,Value Y axis,Percent,%,1,Percent,%,1,Efficiency,Curve type
Curves,XValue,Value X axis,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,HeadLoss,Curve type
Curves,Yvalue,Value Y axis,Meters water colum ,m,2,Feet,ft,2,HeadLoss,Curve type
Curves,XValue,Value X axis,Unitless,,2,Unitless,,2,Generic,Curve type
Curves,Yvalue,Value Y axis,Unitless,,2,Unitless,,2,Generic,Curve type
Curves,Xvalue,Value X axis,Percent,%,1,Percent,%,1,Valve,Curve type. Not yet available
Curves,Yvalue,Value Y axis,Percent,%,1,Percent,%,1,Valve,Curve type. Not yet available
Curves,Type,Type,Text,,,Text,,,,
Curves,Descrip,Description,Text,,,Text,,,,
Sources,BaseValue,Source Quality,Mass/Liter,See MassUnits/L,2,Mass/Liter,See MassUnits/L,2,Concentration,
Sources,BaseValue,Source Quality,Mass/minute,See MassUnits/min,2,Mass/minute,See MassUnits/min,2,Mass Booster,
Sources,BaseValue,Source Quality,Mass/Liter,See MassUnits/L,2,Mass/Liter,See MassUnits/L,2,Set Point Booster,
Sources,BaseValue,Source Quality,Mass/Liter,See MassUnits/L,2,Mass/Liter,See MassUnits/L,2,Flow Paced Booster,
Sources,IdPattern,Source Pattern,Text,,,Text,,,,
Options,Name,Specific Gravity,Unitless,,2,Unitless,,2,,
Options,Name,Viscosity,Unitless,,2,Unitless,,2,,
Options,Name,Demand Multiplier,Unitless,,2,Unitless,,2,,
Options,Name,Emitter Exponent,Unitless,,2,Unitless,,2,,
Options,Name,Minimum Pressure,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,,
Options,Name,Required Pressure,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,,
Options,Name,Pressure Exponent,Unitless,,2,Unitless,,2,,
Options,Name,Diffusivity,Unitless,,2,Unitless,,2,,
Options,Name,Global Bulk,Per day,1/day,2,Per day,1/day,2,1,Bulk reaction order. Leave blank for other order
Options,Name,Global Wall,mass/L/day,See MassUnits/L/day,3,Mass/L/day,See MassUnits/L/day,3,0,Wall reaction order
Options,Name,Global Wall,Per day,1/day,2,Per day,1/day,2,1,Wall reaction order
Options,Name,Limiting Potential,mass/Liter,See MassUnits/L,2,Mass/Liter,See MassUnits/L,2,,For some raction model
Options,Name,Global Efficiency,Percent,%,1,Percent,%,1,,
Options,Name,Global Price,Currency /kWh,See Currency/kWh,2,Currency /kWh,See Currency/kWh,2,,Not yet available. Default $/kWh
Options,Name,Demand Charge,Currency /Max kW,See Currency/kW,2,Currency /Max kW,See Currency/kW,2,,Not yet available. Default $/kWh
Service Connection,Id,Identifier,Text,,,Text,,,,
Service Connection,Length,Length,Meters,m,2,Feet,ft,2,,
Service Connection,Diameter,Diameter,Millimeters,mm,1,Inches,in,2,,
Service Connection,Roughness,Roughness Coeff,Millimeters,mm,4,Millifeet,mft,6,D-W,HeadLoss formulae
Service Connection,RoughCoeff,Roughness Coeff,Unitless,,1,Unitless,,1,H-W,HeadLoss formulae
Service Connection,RoughCoeff,Roughness Coeff,seconds/meters(1/3),s/m(1/3),2,seconds/meters(1/3),s/m(1/3),2,C-M,HeadLoss formulae
Service Connection,Material,Material,Text,,,Text,,,,
Service Connection,InstDate,Installation Date,Year as Text,,,Year as Text,,,,
Service Connection,Age,Age,Years,yr,1,Years,yr,1,,
Service Connection,BaseDemand,Base Demand,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,
Service Connection,Pattern,Pattern Demand,Text,,,Text,,,,
Service Connection,Reliabilit,Reliability,Unitless,,2,Unitless,,2,,
Service Connection,IsActive,IsActive,Text,,,Text,,,,
Service Connection,Tag,Tag,Text,,,Text,,,,
Service Connection,Descrip,Description,Text,,,Text,,,,
Isolation Valves,Id,Identifier,Text,,,Text,,,,
Isolation Valves,Diameter,Diameter,Millimeters,mm,1,Inches,in,2,,
Isolation Valves,LossCoeff,Loss Coefficient,Unitless,,2,Unitless,,2,,
Isolation Valves,Status,Status,Text,,,Text,,,,
Isolation Valves,Available,Available,Text,,,Text,,,,
Isolation Valves,InstDate,Installation Date,Year as Text,,,Year as Text,,,,
Isolation Valves,Age,Age,Years,yr,1,Years,yr,1,,
Isolation Valves,Tag,Tag,Text,,,Text,,,,
Isolation Valves,Descrip,Description,Text,,,Text,,,,
Meters,Id,Identifier,Text,,,Text,,,,
Meters,Type,Type,Text,,,Text,,,,
Meters,IsActive,IsActive,Text,,,Text,,,,
Meters,InstDate,Installation Date,Year as Text,,,Year as Text,,,,
Meters,Age,Age,Years,yr,1,Years,yr,1,,
Meters,Tag,Tag,Text,,,Text,,,,
Meters,Descrip,Description,Text,,,Text,,,,
Nodes,Id,Indentifier,Text,,,Text,,,,
Nodes,Type,Element Type,Text,,,Text,,,,
Nodes,Time,Simulation Time,Time as Text,,,Time as Text,,,,
Nodes,Pressure,Pressure,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,,
Nodes,Head,Head,Meters,m,2,Feet,ft,2,,
Nodes,Demand,Demand,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,
Nodes,FullDem,Full demand,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,Not yet available
Nodes,DemDeficit,Demand Deficit,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,Not yet available
Nodes,Leaks,Leakage Flow,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,Not yet available
Nodes,EmittFlow,Emitter Flow,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,Not yet available
Nodes,Quality,Chemical Quality,Mass/Liter,See MassUnits/L,2,mass/Liter,See MassUnits/L,2,Chemical,Quality model
Nodes,Quality,Percentage Trace,Percent,%,1,Percent,%,1,Trace,Quality model
Nodes,Quality,Water Age,Hours,hr,1,Hours,hr,1,Age,Quality model
Links,Id,Indentifier,Text,,,Text,,,,
Links,Type,Element Type,Text,,,Text,,,,
Links,Time,Simulation Time,Time as Text,,,Time as Text,,,,
Links,Status,Status,Text,,,Text,,,,
Links,Flow,Flow,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,,
Links,Velocity,Velocity,Meters/second,m/s,2,feet/second,ft/s,2,,
Links,HeadLoss,HeadLoss,Meters water colum ,m,2,Feet,ft,2,,
Links,UnitHdLoss,Unit HeadLoss,Meters per 1000 m,m/Km,2,Feet per 1000 ft,ft/Kft,2,,
Links,FricFactor,Friction factor,Unitless,,3,Unitless,,3,,
Links,Energy,Energy,Kilowatt - hours,kWh,2,Kilowatt - hours,kWh,2,,
Links,ReactRate,Reaction Rate,mass/L/day,See MassUnits/L/day,3,mass/L/day,See MassUnits/L/day,3,Chemical,Quality model
Links,Quality,Chemical Quality,mass/L,See MassUnits/L,3,mass/L,See MassUnits/L,3,Chemical,Quality model
Links,Quality,Percentage Trace,Percent,%,1,Percent,%,1,Trace,Quality model
Links,Quality,Water Age,Hours,hr,1,Hours,hr,1,Age,Quality model
Global,FlowUnits,FlowUnits,liters/sec,lps,2,,,,LPS,
Global,FlowUnits,FlowUnits,liters/min,lpm,1,,,,LPM,
Global,FlowUnits,FlowUnits,megaliters/day,mld,2,,,,MLD,
Global,FlowUnits,FlowUnits,cubic meters/sec,cms,2,,,,CMS,Not yet available
Global,FlowUnits,FlowUnits,cubic metres/hr,cmh,2,,,,CMH,
Global,FlowUnits,FlowUnits,cubic metres/day,cmd,2,,,,CMD,
Global,FlowUnits,FlowUnits,,,,Cubic feet/sec,cfs,2,CFS,
Global,FlowUnits,FlowUnits,,,,Gallons/min,gpm,1,GPM,
Global,FlowUnits,FlowUnits,,,,Million gal/day,mgd,2,MGD,
Global,FlowUnits,FlowUnits,,,,Imperial MGD,imgd,2,IMGD,
Global,FlowUnits,FlowUnits,,,,Acre-feet/day,afd,2,AFD,
Global,PressUnits,PressureUnits,Meters water colum ,m,2,,,,METERS,
Global,PressUnits,PressureUnits,,,,Pounds/ sq inch,psi,2,PSI,
Global,PressUnits,PressureUnits,KiloPascals,kPa,1,,,,KPA,Not yet available
Global,PressUnits,PressureUnits,,,,Feet water colum,ft,2,FEET,Not yet available
Global,PressUnits,PressureUnits,bars,bar,3,,,,BAR,Not yet available
Global,MassUnits,MassUnits,Miligrams,mg,2,Miligrams,mg,2,mg/L,Concentration units
Global,MassUnits,MassUnits,Micrograms,µg,2,Micrograms,µg,2,ug/L,Concentration units
Global,Currency,Currency,USDollars,$,2,USDollars,$,2,USD,Not yet available
Global,Currency,Currency,GBPounds,£,2,GBPounds,£,2,GBP,Not yet available
Global,Currency,Currency,Euros,€,2,Euros,€,2,EU,Not yet available
Global,Currency,Currency,Yenes,¥,0,Yenes,¥,0,JPY,Not yet available
Global,Currency,Currency,Yuanes,¥,1,Yuanes,¥,1,CNY,Not yet available
